ident,             JDTDB,                      X,                      Y,                      Z,              VX (km/s),              VY (km/s),              VZ (km/s),             mass (kg),          radius (km),  color1,   color2,    color3,
   Mercury, 2453602.611124046, 49229585.997113146, 13657482.047909772, -3268891.6110378583, -23.351603469488413, 48.84657230435293, 6.133695136722168, 3.302e+23, 2440.0, 219.0, 206.0, 202.0, 1
     Venus, 2453602.611124046, -53964873.44750937, -94230704.43834157, 1872499.0273940447, 29.94323437754303, -17.915741972729816, -1.973298975424881, 4.8685e+24, 6051.8, 139.0, 125.0, 130.0, 2
     Earth, 2453602.611124046, 128278975.36449611, -82709678.44372427, -20587.046559833718, 15.641014153234362, 24.92397982846618, -0.0013818200196257758, 5.97219e+24, 6371.01, 0.0, 119.0, 190.0, 3
      Moon, 2453602.611124046, 128601737.627221, -82863975.91482686, -41260.04942629313, 16.138449596312775, 25.900630022156083, 0.0723437731226012, 7.349e+22, 1738.0, 214.0, 213.0, 192.0, 0
      Mars, 2453602.611124046, 208573285.56000727, -9885799.292169284, -5312853.303210113, 2.0021177751038794, 26.282353004028792, 0.5013272605076744, 6.4185e+23, 3389.9, 114.0, 81.0, 48.0, 4
   Jupiter, 2453602.611124046, -743554421.6322325, -335816124.25244504, 18030628.356343906, 5.199106068198445, -11.296766340175287, -0.06951264771394179, 8.9813e+26, 69911.0, 165.0, 145.0, 134.0, 5
    Saturn, 2453602.611124046, -716468286.0958111, 1156052739.1752656, 8319509.56631307, -8.720688101599277, -5.098227782854577, 0.4354224413816975, 5.68319e+26, 58232.0, 227.0, 224.0, 192.0, 6
    Uranus, 2453602.611124046, 2795193309.0940747, -1096548321.7886858, -40298940.59084127, 2.437395503362011, 6.021893106655755, -0.009258178247954017, 8.68103e+25, 25362.0, 225.0, 238.0, 238.0, 7
   Neptune, 2453602.611124046, 3245997918.052247, -3112990121.266086, -10788737.696164688, 3.72723379566825, 3.9541980625207303, -0.16790684455538557, 1.0241e+26, 24624.0, 115.0, 172.0, 172.0, 8
     Pluto, 2453602.611124046, -520852265.2700584, -4565473111.93267, 637759576.648415, 5.487001262409583, -1.6128348613756842, -1.4240286126844464, 1.307e+22, 1195.0, 246.0, 221.0, 189.0, 0
     Bennu, 2453602.611124046, 145714762.35870916, -81779980.85631703, -9136307.903052758, 8.630859349202733, 27.01791704766833, 2.8152656928741915, 78000000000.0, 0.2, 128.0, 128.0, 128.0, 0
Collisions: 
Closeness: 

       Sun, 2453633.8958465015, 1015937.4799177813, -765137.5972240599, -22227.816562539934, 0.0055713668125129175, 0.0028534044519090817, -0.00019666485788902275, 1.988544e+30, 696300.0, 253.0, 184.0, 19.0, 9
   Mercury, 2453633.8958465015, -57837663.51613228, -7992037.500558093, 4788531.18565441, -4.183800378220586, -46.26469082023627, -3.3955978472066026, 3.302e+23, 2440.0, 219.0, 206.0, 202.0, 1
     Venus, 2453633.8958465015, 36691992.94354692, -103593580.32475182, -3488042.280420627, 32.85325972491389, 11.358229289862583, -1.7408313385604106, 4.8685e+24, 6051.8, 139.0, 125.0, 130.0, 2
     Earth, 2453633.8958465015, 151106168.05467522, -7173292.691052968, -22350.05096070428, 0.7985686129920928, 29.64025050825387, -0.0016757453643996452, 5.97219e+24, 6371.01, 0.0, 119.0, 190.0, 3
      Moon, 2453633.8958465015, 151426408.092606, -6983605.23564454, -12291.517159442405, 0.3166832367693611, 30.576856107260692, 0.09274151282967183, 7.349e+22, 1738.0, 214.0, 213.0, 192.0, 0
      Mars, 2453633.8958465015, 202918135.34569362, 60390335.320134275, -3701864.874407674, -6.085599827376777, 25.26541698063399, 0.6787492234596494, 6.4185e+23, 3389.9, 114.0, 81.0, 48.0, 4
   Jupiter, 2453633.8958465015, -728842260.5056858, -366043748.94614255, 17826712.494305953, 5.6849929476862435, -11.065936860258674, -0.08134399632645876, 8.9813e+26, 69911.0, 165.0, 145.0, 134.0, 5
    Saturn, 2453633.8958465015, -739900925.9249511, 1142050716.3855777, 9494778.783990066, -8.61706880132747, -5.261692862781075, 0.4341540743115598, 5.68319e+26, 58232.0, 227.0, 224.0, 192.0, 6
    Uranus, 2453633.8958465015, 2801731420.3339057, -1080251589.5889962, -40323242.569797315, 2.400275052259583, 6.036320515971245, -0.008723468943960384, 8.68103e+25, 25362.0, 225.0, 238.0, 238.0, 7
   Neptune, 2453633.8958465015, 3256055286.0916553, -3102285322.7925944, -11242531.638354165, 3.7143979124343054, 3.966470130715292, -0.16786345465619681, 1.0241e+26, 24624.0, 115.0, 172.0, 172.0, 8
     Pluto, 2453633.8958465015, -506018388.6460276, -4569810406.642377, 633907332.8693895, 5.488850113797773, -1.5964173829764758, -1.4263145776255344, 1.307e+22, 1195.0, 246.0, 221.0, 189.0, 0
     Bennu, 2453633.8958465015, 151507188.134433, -2423737.3141331696, -784472.7991707434, -5.106174819578995, 30.667813549174006, 3.261456093996591, 78000000000.0, 0.2, 128.0, 128.0, 128.0, 0
Collisions: 
Closeness:      Bennu and      Earth; 4826999.042499264

       Sun, 2453833.988440585, 1101720.1530089872, -718310.4259891218, -25408.90192754239, 0.004061431886705818, 0.0024926168638497925, -0.00015998871923075355, 1.988544e+30, 696300.0, 253.0, 184.0, 19.0, 9
   Mercury, 2453833.988440585, -9987733.07750174, -69415154.61926879, -4619966.54022394, 38.34405346648765, -5.309226234643821, -3.952647942500301, 3.302e+23, 2440.0, 219.0, 206.0, 202.0, 1
     Venus, 2453833.988440585, -35714885.39629591, -102854108.29742117, 702161.8504180261, 32.7047080225898, -12.027293327439958, -2.0521492387007143, 4.8685e+24, 6051.8, 139.0, 125.0, 130.0, 2
     Earth, 2453833.988440585, -140892499.82650727, -48374976.47383183, -24811.14356507965, 9.0010127143, -28.346024069158776, 0.0009945918850306143, 5.97219e+24, 6371.01, 0.0, 119.0, 190.0, 3
      Moon, 2453833.988440585, -141217385.6931123, -48134467.265393265, -372.0638748533833, 8.41272745439527, -29.111862573772516, -0.06559273834838934, 7.349e+22, 1738.0, 214.0, 213.0, 192.0, 0
      Mars, 2453833.988440585, -126746062.59183002, 207889016.9196395, 7486494.086043226, -19.73629225237571, -10.595982379433929, 0.26281629505799575, 6.4185e+23, 3389.9, 114.0, 81.0, 48.0, 4
   Jupiter, 2453833.988440585, -605215435.7799886, -541736791.8003739, 15788459.395256676, 8.535705408105281, -9.130900541224037, -0.1531692393862505, 8.9813e+26, 69911.0, 165.0, 145.0, 134.0, 5
    Saturn, 2453833.988440585, -882697675.9875461, 1042392884.5578, 16906586.81983329, -7.882627184932401, -6.250455689977159, 0.4222042490717964, 5.68319e+26, 58232.0, 227.0, 224.0, 192.0, 6
    Uranus, 2453833.988440585, 2841163663.2075343, -975129930.8945233, -40444462.15666194, 2.1610273938195417, 6.123402203722638, -0.005299181441065297, 8.68103e+25, 25362.0, 225.0, 238.0, 238.0, 7
   Neptune, 2453833.988440585, 3319554200.4757595, -3033040503.5442433, -14141894.771153469, 3.6313420026129593, 4.043979188489863, -0.16754347459554625, 1.0241e+26, 24624.0, 115.0, 172.0, 172.0, 8
     Pluto, 2453833.988440585, -411033012.91128826, -4596502589.809354, 609125279.6610905, 5.49936255300863, -1.4915834674393533, -1.4405352869174104, 1.307e+22, 1195.0, 246.0, 221.0, 189.0, 0
     Bennu, 2453833.988440585, -172199353.05957162, -75022304.5273507, -7208186.418762649, 5.913326539819679, -24.029356900530328, -2.5625723824802638, 78000000000.0, 0.2, 128.0, 128.0, 128.0, 0
Collisions: 
Closeness:      Bennu and      Earth; 41734877.02774928

       Sun, 2454178.30557278, 1194136.918435767, -673176.1230749027, -29496.338136237155, 0.0022833512334563067, 0.000627386002031643, -0.0001159880252382164, 1.988544e+30, 696300.0, 253.0, 184.0, 19.0, 9
   Mercury, 2454178.30557278, -32946807.254006743, -60592895.356836565, -1791629.3646469316, 32.52107245084757, -21.797835159388786, -4.765239749808744, 3.302e+23, 2440.0, 219.0, 206.0, 202.0, 1
     Venus, 2454178.30557278, 18862631.420262627, 105586780.2138826, 404567.97439366987, -34.669972607800176, 5.577094420533839, 2.0773800767560293, 4.8685e+24, 6051.8, 139.0, 125.0, 130.0, 2
     Earth, 2454178.30557278, -147593704.75049353, 4876848.610749861, -29392.45424125234, -1.5974655453123567, -29.89668398573146, -0.0009143490492667886, 5.97219e+24, 6371.01, 0.0, 119.0, 190.0, 3
      Moon, 2454178.30557278, -147235859.99897128, 4853014.4513516, -23590.90187645717, -1.5430966033425393, -28.80472002818853, 0.09832395660544083, 7.349e+22, 1738.0, 214.0, 213.0, 192.0, 0
      Mars, 2454178.30557278, 66530793.71849161, -202974976.93845886, -5873061.069983111, 23.979426545994613, 9.52691298673144, -0.38962530621446256, 6.4185e+23, 3389.9, 114.0, 81.0, 48.0, 4
   Jupiter, 2454178.30557278, -294675703.8130458, -744523817.0330137, 9679215.822172413, 11.977286186781326, -4.21047852483988, -0.25060825163210393, 8.9813e+26, 69911.0, 165.0, 145.0, 134.0, 5
    Saturn, 2454178.30557278, -1095348725.1550372, 834150233.3083216, 28987212.152680594, -6.365769651915046, -7.690556433759296, 0.3870329970319236, 5.68319e+26, 58232.0, 227.0, 224.0, 192.0, 6
    Uranus, 2454178.30557278, 2899247828.45387, -790984697.3772033, -40514343.672031544, 1.7426138252366452, 6.252018314970688, 0.0006012727870694842, 8.68103e+25, 25362.0, 225.0, 238.0, 238.0, 7
   Neptune, 2454178.30557278, 3425412170.586469, -2910799607.663509, -19115938.122487918, 3.484611987737813, 4.17330286830118, -0.16682106782518386, 1.0241e+26, 24624.0, 115.0, 172.0, 172.0, 8
